Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1 Thread #1, Value: 28.505451, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1 Thread #2, Value: 32.18615, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2 Thread #1, Value: 28.857445, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2 Thread #2, Value: 9.956074, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3 Thread #1, Value: 0, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3 Thread #2, Value: 0, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4 Thread #1, Value: 0, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4 Thread #2, Value: 0, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Total, Value: 9.696627, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core Max, Value: 32.18615, Type: Load
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: Core Max, Value: 70, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: Core Average, Value: 67.5, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1, Value: 70, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2, Value: 69, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3, Value: 65, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4, Value: 66, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Package, Value: 72, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1 Distance to TjMax, Value: 30, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2 Distance to TjMax, Value: 31, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3 Distance to TjMax, Value: 35, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4 Distance to TjMax, Value: 34, Type: Temperature
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1, Value: 4233.601, Type: Clock
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2, Value: 4233.601, Type: Clock
